account_id,is_employee,last_modified_date,last_access_date,reputation_change_year,reputation_change_quarter,reputation_change_month,reputation_change_week,reputation_change_day,reputation,creation_date,user_type,user_id,accept_rate,location,website_url,link,profile_image,display_name,badge_counts_bronze,badge_counts_silver,badge_counts_gold,country,insert_date
14377157,False,,1654061272,4,2,0,0,0,27,1613523340,registered,15224345,,Unknown,,https://stackoverflow.com/users/15224345/daniel,https://lh3.googleusercontent.com/-btd4qViYHo4/AAAAAAAAAAI/AAAAAAAAAAA/AAN31DXwe6UM3o_z9O5M9by_Ls_b0mlpJA/mo/photo.jpg?sz=256,Daniel ,3,0,0,Unknown,2022-05-26
24633978,False,,1654164669,26,14,0,0,0,27,1647887759,registered,18532875,,Unknown,,https://stackoverflow.com/users/18532875/lana-stance,https://www.gravatar.com/avatar/c4aa860b121236fdee03d5c0dd308b85?s=256&d=identicon&r=PG,Lana Stance,4,0,0,Unknown,2022-05-26
25265249,False,,1654159594,26,26,0,0,0,27,1652285505,registered,19095548,,Unknown,,https://stackoverflow.com/users/19095548/donald-smith,https://lh3.googleusercontent.com/a/AATXAJyIT4_M7XdQe6CCKl9Iol2P1tYMd3Yec8gOEGOw=k-s256,donald smith,4,0,0,Unknown,2022-05-26
25001968,False,1654082215.0,1654084769,24,24,0,0,0,25,1650364154,registered,18862291,,Unknown,,https://stackoverflow.com/users/18862291/marley01,https://www.gravatar.com/avatar/ed3047d7d917cf81347b0d80294d0c71?s=256&d=identicon&r=PG&f=1,marley01,6,0,0,Unknown,2022-05-26
25244344,False,1652271000.0,1654166909,24,24,0,12,0,25,1652107525,registered,19077799,,Unknown,,https://stackoverflow.com/users/19077799/kamilminiprogramer,https://lh3.googleusercontent.com/a/AATXAJxC4Se84S4ysSrAwB0ZOX7HwJT9VyH4MDv2i75Z=k-s256,Kamilminiprogramer,5,0,0,Unknown,2022-05-26
25353321,False,1653258603.0,1654145465,22,22,12,12,0,23,1653159756,registered,19169850,,Unknown,,https://stackoverflow.com/users/19169850/melolilili,https://www.gravatar.com/avatar/5b3600f8916fa2b871d6a1e7efac9da3?s=256&d=identicon&r=PG,melolilili,4,0,0,Unknown,2022-05-26
25394157,False,,1654080224,20,20,0,0,0,21,1653551267,registered,19204667,,Unknown,,https://stackoverflow.com/users/19204667/babyyoda,https://www.gravatar.com/avatar/a92ddca49b52e21741a17093ed9210f3?s=256&d=identicon&r=PG,babyyoda,1,0,0,Unknown,2022-05-26
24942755,False,1653837600.0,1654128318,18,18,0,0,0,19,1649986042,registered,18808414,,Unknown,,https://stackoverflow.com/users/18808414/ruslan-pylypyuk,https://www.gravatar.com/avatar/a40daf5cd7da164f96d16d474a74e64e?s=256&d=identicon&r=PG,Ruslan Pylypyuk,5,0,0,Unknown,2022-05-26
25280443,False,1652693701.0,1654005860,16,16,0,0,0,17,1652430634,registered,19108402,,Unknown,,https://stackoverflow.com/users/19108402/iris-jacobs,https://lh3.googleusercontent.com/a-/AOh14GgEeHX58M1FD30daZNID5U8e2eJhmxkziqW6NrHdA=k-s256,Iris Jacobs,4,0,0,Unknown,2022-05-26
25391929,False,,1654060274,12,12,0,0,0,13,1653529455,registered,19202743,,Unknown,,https://stackoverflow.com/users/19202743/esabo,https://www.gravatar.com/avatar/71b761001a68eacf2299caa0d4acde21?s=256&d=identicon&r=PG,esabo,1,0,0,Unknown,2022-05-26
25394813,False,,1654166219,12,12,0,2,0,13,1653556262,registered,19205242,,Unknown,,https://stackoverflow.com/users/19205242/pietro-enea,https://lh3.googleusercontent.com/a/AATXAJzhHhs56FVxI_N3YmEniUmOcjBBJcpgleIfLLFe7VE=k-s256,Pietro Enea,2,0,0,Unknown,2022-05-26
17667186,False,1633133702.0,1654146730,0,0,0,0,0,11,1580560734,registered,12824281,,Unknown,,https://stackoverflow.com/users/12824281/abolfazl-kiyani,https://lh4.googleusercontent.com/-WVsjbfGwJWw/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdsTh2c4D_5bCiEe0LJclx9nGo3gQ/photo.jpg?sz=256,Abolfazl kiyani,1,0,0,Unknown,2022-05-26
24533559,False,1647340800.0,1653614469,10,10,0,0,0,11,1647064504,registered,18444980,,Unknown,,https://stackoverflow.com/users/18444980/rzan1,https://lh3.googleusercontent.com/a/AATXAJyqs-55xaouMsSvwzXkhn2XorEI-kRIl3SAH5SQ=k-s256,rzan1,2,0,0,Unknown,2022-05-26
25400783,False,,1654095892,8,8,0,-4,0,9,1653606644,registered,19210329,,Unknown,,https://stackoverflow.com/users/19210329/fabio,https://www.gravatar.com/avatar/58b241995945490a3ee961e76c8bc946?s=256&d=identicon&r=PG,Fabio,2,0,0,Unknown,2022-05-26
3396296,False,1612577101.0,1654077173,2,2,0,0,0,3,1380987500,registered,2849829,,"Warszawa, Polska",,https://stackoverflow.com/users/2849829/rybomar,https://www.gravatar.com/avatar/055acd462931d893daadecd42a65fc15?s=256&d=identicon&r=PG&f=1,rybomar,3,0,0,Unknown,2022-05-26
22797713,False,1654155600.0,1654140685,0,0,0,0,0,3,1632066246,registered,16951011,,Unknown,,https://stackoverflow.com/users/16951011/sudarshan-waman,https://lh3.googleusercontent.com/a-/AOh14GjsmNKKWL9ziaLtXfmL1d_0En6kr7yhYl9alcZ7eQ=k-s256,Sudarshan Waman,3,0,0,Unknown,2022-05-26
23847264,False,1654161000.0,1653895595,2,2,0,0,0,3,1641480603,registered,17851622,,Cairo,,https://stackoverflow.com/users/17851622/mahmoud-badr,https://lh3.googleusercontent.com/a-/AOh14Gi9t12VcBHkTkasBfvCNCbIVt2zAQCXGF--2OTebw=k-s256,Mahmoud Badr,3,1,0,Unknown,2022-05-26
25393621,False,,1653548326,2,2,0,0,0,3,1653547082,registered,19204198,,Unknown,,https://stackoverflow.com/users/19204198/pinakss7,https://www.gravatar.com/avatar/82227dc411d3ea0b40df4807111619a7?s=256&d=identicon&r=PG,Pinakss7,1,0,0,Unknown,2022-05-26
19502846,False,,1654031578,2,2,0,0,0,3,1653599896,registered,19209926,,Unknown,,https://stackoverflow.com/users/19209926/chen-bao,https://lh6.googleusercontent.com/-sK47wf715JE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclOL8ZIIUlHxpLfxLwsVxypzmTH0A/photo.jpg?sz=256,Chen Bao,1,0,0,Unknown,2022-05-26
7225703,False,,1653676625,0,0,0,0,0,1,1446435898,registered,5514339,,Unknown,,https://stackoverflow.com/users/5514339/cylurian,https://www.gravatar.com/avatar/c48d6cd3379cedb25cacf4c0b21ddfd1?s=256&d=identicon&r=PG&f=1,cylurian,3,1,0,Unknown,2022-05-26
10170061,False,,1653728220,0,0,0,0,0,1,1486116636,registered,7510662,,Unknown,,https://stackoverflow.com/users/7510662/jean-baptiste-yamindi,https://lh4.googleusercontent.com/-FzfqGP8S2Lw/AAAAAAAAAAI/AAAAAAAAAIk/WJv0FwJkK10/photo.jpg?sz=256,Jean-Baptiste Yamindi,0,0,0,Unknown,2022-05-26
12810627,False,1653589321.0,1654082840,0,0,0,0,0,1,1516902337,registered,9268971,,Unknown,,https://stackoverflow.com/users/9268971/fabianh,https://www.gravatar.com/avatar/aa7b3f1eaddfc27d977d275eb220a051?s=256&d=identicon&r=PG&f=1,FabianH,1,0,0,Unknown,2022-05-26
15980109,False,,1654152748,0,0,0,0,0,1,1558420228,registered,11531964,,Unknown,,https://stackoverflow.com/users/11531964/saurabh-dinesh-brahmankar,https://lh4.googleusercontent.com/-f8IwlhPfH24/AAAAAAAAAAI/AAAAAAAAAxY/jdP4AuGojnk/photo.jpg?sz=256,Saurabh Dinesh Brahmankar,1,0,0,Unknown,2022-05-26
17529239,False,1653613954.0,1654047734,0,0,0,0,0,1,1579036089,registered,12713630,,Toronto,,https://stackoverflow.com/users/12713630/yellow-raven,https://i.stack.imgur.com/Gsr7j.jpg?s=256&g=1,yellow-raven,3,0,0,Unknown,2022-05-26
17592947,False,,1654148183,0,0,0,0,0,1,1606312564,registered,14706919,,Unknown,,https://stackoverflow.com/users/14706919/reza-naimaee,https://lh3.googleusercontent.com/a-/AAuE7mCtHasaqPJ-15jgz2XKySw3GVfFXYtZ55Pa4KCv=k-s256,Reza naimaee,0,0,0,Unknown,2022-05-26
